y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.5035,0.0875,1.0,-0.12016667,0
0.5058333,0.11666667,1.0,-0.1225,0
0.50875,0.14583333,1.0,-0.12541667,0
0.51225,0.175,1.0,-0.12891667,0
0.51633334,0.20416667,1.0,-0.133,0
0.521,0.23333333,1.0,-0.13766667,0
0.52625,0.2625,1.0,-0.14291666,0
0.53208333,0.29166666,1.0,-0.14875,0
0.5385,0.32083333,1.0,-0.15516667,0
0.5455,0.35,1.0,-0.16216667,0
0.55308336,0.37916666,1.0,-0.16975,0
0.56125,0.40833333,1.0,-0.17791666,0
0.57,0.4375,1.0,-0.18666667,0
0.5793333,0.46666667,1.0,-0.196,0
0.58925,0.49583334,0.9975,-0.20591667,0
0.59975,0.525,0.99,-0.21641667,1
0.5886667,-0.5541667,0.9825,-0.20533334,0
0.57816666,-0.525,0.975,-0.19483334,0
0.56825,-0.49583334,0.9675,-0.18491666,0
0.5589167,-0.46666667,0.96,-0.17558333,0
0.55016667,-0.4375,0.9525,-0.16683333,0
0.542,-0.40833333,0.945,-0.15866667,0
0.5344167,-0.37916666,0.9375,-0.15108334,0
0.52741665,-0.35,0.93,-0.14408334,0
0.521,-0.32083333,0.9225,-0.13766667,0
0.51516664,-0.29166666,0.915,-0.13183333,0
0.50991666,-0.2625,0.9075,-0.12658334,0
0.50525,-0.23333333,0.9,-0.12191667,0
0.50116664,-0.20416667,0.8925,-0.11783333,0
0.49766666,-0.175,0.885,-0.11433333,0
0.49475,-0.14583333,0.8775,-0.11141667,0
0.49241668,-0.11666667,0.87,-0.10908333,0
0.49066666,-0.0875,0.8625,-0.10733333,0
0.4895,-0.058333334,0.855,-0.10616667,0
0.48891667,-0.029166667,0.8475,-0.10558333,0
0.48891667,-1.7578532e-16,0.84,-0.10558333,0
0.4895,0.029166667,0.8325,-0.10616667,0
0.49066666,0.058333334,0.825,-0.10733333,0
0.49241668,0.0875,0.8175,-0.10908333,0
0.49475,0.11666667,0.81,-0.11141667,0
0.49766666,0.14583333,0.8025,-0.11433333,0
0.50116664,0.175,0.795,-0.11783333,0
0.50525,0.20416667,0.7875,-0.12191667,0
0.50991666,0.23333333,0.78,-0.12658334,0
0.51516664,0.2625,0.7725,-0.13183333,0
0.521,0.29166666,0.765,-0.13766667,0
0.52741665,0.32083333,0.7575,-0.14408334,0
0.5344167,0.35,0.75,-0.15108334,0
0.542,0.37916666,0.7425,-0.15866667,0
0.55016667,0.40833333,0.735,-0.16683333,0
0.5589167,0.4375,0.7275,-0.17558333,0
0.56825,0.46666667,0.72,-0.18491666,0
0.57816666,0.49583334,0.7125,-0.19483334,0
0.5886667,0.525,0.705,-0.20533334,1
0.5775833,-0.5541667,0.6975,-0.19425,0
0.56708336,-0.525,0.69,-0.18375,0
0.5571667,-0.49583334,0.6825,-0.17383334,0
0.5478333,-0.46666667,0.675,-0.1645,0
0.53908336,-0.4375,0.6675,-0.15575,0
0.5309167,-0.40833333,0.66,-0.14758334,0
0.5233333,-0.37916666,0.6525,-0.14,0
0.51633334,-0.35,0.645,-0.133,0
0.50991666,-0.32083333,0.6375,-0.12658334,0
0.50408334,-0.29166666,0.63,-0.12075,0
0.49883333,-0.2625,0.6225,-0.1155,0
0.49416667,-0.23333333,0.615,-0.11083333,0
0.49008334,-0.20416667,0.6075,-0.10675,0
0.48658332,-0.175,0.6,-0.10325,0
0.48366666,-0.14583333,0.5925,-0.10033333,0
0.48133335,-0.11666667,0.585,-0.098,0
0.47958332,-0.0875,0.5775,-0.09625,0
0.47841668,-0.058333334,0.57,-0.09508333,0
0.47783333,-0.029166667,0.5625,-0.0945,0
0.47783333,-1.7578532e-16,0.555,-0.0945,0
0.47841668,0.029166667,0.5475,-0.09508333,0
0.47958332,0.058333334,0.54,-0.09625,0
0.48133335,0.0875,0.5325,-0.098,0
0.48366666,0.11666667,0.525,-0.10033333,0
0.48658332,0.14583333,0.5175,-0.10325,0
0.49008334,0.175,0.51,-0.10675,0
0.49416667,0.20416667,0.5025,-0.11083333,0
0.49883333,0.23333333,0.495,-0.1155,1
0.48775,-0.5541667,0.4875,-0.10441667,0
0.47725,-0.525,0.48,-0.09391667,0
0.46733335,-0.49583334,0.4725,-0.084,0
0.458,-0.46666667,0.465,-0.074666664,0
0.44925,-0.4375,0.4575,-0.065916665,0
0.44108334,-0.40833333,0.45,-0.05775,0
0.4335,-0.37916666,0.4425,-0.050166667,0
0.4265,-0.35,0.435,-0.043166667,0
0.42008334,-0.32083333,0.4275,-0.03675,0
0.41425,-0.29166666,0.42,-0.030916667,0
0.409,-0.2625,0.4125,-0.025666667,0
0.40433332,-0.23333333,0.405,-0.021,0
0.40025,-0.20416667,0.3975,-0.016916666,0
0.39675,-0.175,0.39,-0.013416667,0
0.39383334,-0.14583333,0.3825,-0.0105,0
0.3915,-0.11666667,0.375,-0.008166667,0
0.38975,-0.0875,0.3675,-0.006416667,0
0.38858333,-0.058333334,0.36,-0.00525,0
0.388,-0.029166667,0.3525,-0.0046666665,0
0.388,-1.7578532e-16,0.345,-0.0046666665,0
0.38858333,0.029166667,0.3375,-0.00525,0
0.38975,0.058333334,0.33,-0.006416667,0
0.3915,0.0875,0.3225,-0.008166667,0
0.39383334,0.11666667,0.315,-0.0105,1
0.38275,-0.5541667,0.3075,0.0005833333,0
0.37225,-0.525,0.3,0.011083334,0
0.36233333,-0.49583334,0.2925,0.021,1
0.35125,-0.5541667,0.285,0.032083333,1
0.34016666,-0.5541667,0.2775,0.043166667,1
0.32908332,-0.5541667,0.27,0.05425,1
0.318,-0.5541667,0.2625,0.06533334,1
0.30691665,-0.5541667,0.255,0.076416664,1
0.29583332,-0.5541667,0.2475,0.0875,1
0.28475,-0.5541667,0.24,0.09858333,1
0.27366668,-0.5541667,0.2325,0.10966667,1
0.26258335,-0.5541667,0.225,0.12075,1
0.2515,-0.5541667,0.2175,0.13183333,1
0.24041666,-0.5541667,0.21,0.14291666,1
0.22933333,-0.5541667,0.2025,0.154,1
0.21825,-0.5541667,0.195,0.16508333,1
0.20716667,-0.5541667,0.1875,0.17616667,1
0.19608334,-0.5541667,0.18,0.18725,1
0.5,0.0,1.0,-0.16,0
0.50058335,0.029166667,1.0,-0.16058333,0
0.50175,0.058333334,1.0,-0.16175,0
0.5035,0.0875,1.0,-0.1635,0
0.5058333,0.11666667,1.0,-0.16583334,0
0.50875,0.14583333,1.0,-0.16875,0
0.51225,0.175,1.0,-0.17225,0
