y_norm,vy_norm,dist_norm,delta_gap_norm,action
0.5233333,-0.37916666,0.6525,-0.14,0
0.51633334,-0.35,0.645,-0.133,0
0.50991666,-0.32083333,0.6375,-0.12658334,0
0.50408334,-0.29166666,0.63,-0.12075,0
0.49883333,-0.2625,0.6225,-0.1155,0
0.49416667,-0.23333333,0.615,-0.11083333,0
0.49008334,-0.20416667,0.6075,-0.10675,0
0.48658332,-0.175,0.6,-0.10325,0
0.48366666,-0.14583333,0.5925,-0.10033333,0
0.48133335,-0.11666667,0.585,-0.098,0
0.47958332,-0.0875,0.5775,-0.09625,0
0.47841668,-0.058333334,0.57,-0.09508333,0
0.47783333,-0.029166667,0.5625,-0.0945,0
0.47783333,-1.7578532e-16,0.555,-0.0945,0
0.47841668,0.029166667,0.5475,-0.09508333,0
0.47958332,0.058333334,0.54,-0.09625,0
0.48133335,0.0875,0.5325,-0.098,0
0.48366666,0.11666667,0.525,-0.10033333,0
0.48658332,0.14583333,0.5175,-0.10325,0
0.49008334,0.175,0.51,-0.10675,0
0.49416667,0.20416667,0.5025,-0.11083333,0
0.49883333,0.23333333,0.495,-0.1155,0
0.50408334,0.2625,0.4875,-0.12075,0
0.50991666,0.29166666,0.48,-0.12658334,0
0.51633334,0.32083333,0.4725,-0.133,0
0.5233333,0.35,0.465,-0.14,0
0.5309167,0.37916666,0.4575,-0.14758334,0
0.53908336,0.40833333,0.45,-0.15575,0
0.5478333,0.4375,0.4425,-0.1645,0
0.5571667,0.46666667,0.435,-0.17383334,0
0.56708336,0.49583334,0.4275,-0.18375,0
0.5775833,0.525,0.42,-0.19425,1
0.5665,-0.5541667,0.4125,-0.18316667,0
0.556,-0.525,0.405,-0.17266667,0
0.54608333,-0.49583334,0.3975,-0.16275,0
0.53675,-0.46666667,0.39,-0.15341666,0
0.528,-0.4375,0.3825,-0.14466667,0
0.5198333,-0.40833333,0.375,-0.1365,0
0.51225,-0.37916666,0.3675,-0.12891667,0
0.50525,-0.35,0.36,-0.12191667,0
0.49883333,-0.32083333,0.3525,-0.1155,0
0.493,-0.29166666,0.345,-0.10966667,0
0.48775,-0.2625,0.3375,-0.10441667,0
0.48308334,-0.23333333,0.33,-0.09975,0
0.479,-0.20416667,0.3225,-0.09566667,0
0.4755,-0.175,0.315,-0.09216667,0
0.47258332,-0.14583333,0.3075,-0.08925,0
0.47025,-0.11666667,0.3,-0.08691667,0
0.4685,-0.0875,0.2925,-0.08516667,0
0.46733335,-0.058333334,0.285,-0.084,0
0.46675,-0.029166667,0.2775,-0.08341666,0
0.46675,-1.7578532e-16,0.27,-0.08341666,0
0.46733335,0.029166667,0.2625,-0.084,0
0.4685,0.058333334,0.255,-0.08516667,0
0.47025,0.0875,0.2475,-0.08691667,0
0.47258332,0.11666667,0.24,-0.08925,0
0.4755,0.14583333,0.2325,-0.09216667,0
0.479,0.175,0.225,-0.09566667,0
0.48308334,0.20416667,0.2175,-0.09975,0
0.48775,0.23333333,0.21,-0.10441667,0
0.493,0.2625,0.2025,-0.10966667,0
0.49883333,0.29166666,0.195,-0.1155,0
0.50525,0.32083333,0.1875,-0.12191667,0
0.51225,0.35,0.18,-0.12891667,0
0.5198333,0.37916666,0.1725,-0.1365,0
0.528,0.40833333,0.165,-0.14466667,0
0.53675,0.4375,0.1575,-0.15341666,0
0.54608333,0.46666667,0.15,-0.16275,0
0.556,0.49583334,0.1425,-0.17266667,0
0.5665,0.525,0.135,-0.18316667,1
0.55541664,-0.5541667,0.1275,-0.17208333,0
0.5449167,-0.525,0.12,-0.16158333,0
0.535,-0.49583334,0.1125,-0.15166667,0
0.52566665,-0.46666667,0.105,-0.14233333,0
0.5169167,-0.4375,0.0975,-0.13358334,0
0.50875,-0.40833333,0.09,-0.12541667,0
0.50116664,-0.37916666,0.0825,-0.11783333,0
0.49416667,-0.35,0.075,-0.11083333,0
0.48775,-0.32083333,0.0675,-0.10441667,0
0.48191667,-0.29166666,0.06,-0.09858333,0
0.47666666,-0.2625,0.0525,-0.093333334,0
0.472,-0.23333333,0.045,-0.08866667,0
0.46791667,-0.20416667,0.0375,-0.084583335,0
0.46441665,-0.175,0.03,-0.081083335,0
0.4615,-0.14583333,0.0225,-0.07816666,0
0.45916668,-0.11666667,0.015,-0.075833336,0
0.45741665,-0.0875,0.0075,-0.074083336,0
0.45625,-0.058333334,0.0,-0.072916664,0
0.45566666,-0.029166667,0.5425,-0.097333334,0
0.45566666,-1.7578532e-16,0.535,-0.097333334,0
0.45625,0.029166667,0.5275,-0.09791667,0
0.45741665,0.058333334,0.52,-0.099083334,0
0.45916668,0.0875,0.5125,-0.100833334,0
0.4615,0.11666667,0.505,-0.10316667,0
0.46441665,0.14583333,0.4975,-0.10608333,0
0.46791667,0.175,0.49,-0.10958333,0
0.472,0.20416667,0.4825,-0.11366667,0
0.47666666,0.23333333,0.475,-0.11833333,0
0.48191667,0.2625,0.4675,-0.12358333,0
0.48775,0.29166666,0.46,-0.12941666,0
0.49416667,0.32083333,0.4525,-0.13583334,0
0.50116664,0.35,0.445,-0.14283334,0
0.50875,0.37916666,0.4375,-0.15041667,0
0.5169167,0.40833333,0.43,-0.15858333,0
0.52566665,0.4375,0.4225,-0.16733333,0
0.535,0.46666667,0.415,-0.17666666,0
0.5449167,0.49583334,0.4075,-0.18658334,0
0.55541664,0.525,0.4,-0.19708334,1
0.54433334,-0.5541667,0.3925,-0.186,0
0.5338333,-0.525,0.385,-0.1755,0
0.52391666,-0.49583334,0.3775,-0.16558333,0
0.51458335,-0.46666667,0.37,-0.15625,0
0.5058333,-0.4375,0.3625,-0.1475,0
0.49766666,-0.40833333,0.355,-0.13933334,0
0.49008334,-0.37916666,0.3475,-0.13175,0
0.48308334,-0.35,0.34,-0.12475,0
0.47666666,-0.32083333,0.3325,-0.11833333,0
0.47083333,-0.29166666,0.325,-0.1125,0
0.46558332,-0.2625,0.3175,-0.10725,0
0.46091667,-0.23333333,0.31,-0.102583334,0
